question_id,item
rbq001,"Interviews others (if present). (e.g., asks a series of questions)"
rbq002,Volunteers a large amount of information about self.
rbq003,Seems interested in what someone had to say.
rbq004,Tries to control the situation. (Disregard whether attempts at control succeed or not.)
rbq005,"Dominates the situation. (Disregard intention, e.g., if P dominates the situation by default because other(s) present does very little, this item should receive high placement.)"
rbq006,Appears to be relaxed and comfortable.
rbq007,"Exhibits social skills. (e.g., makes other(s) comfortable, keeps conversation moving, entertains or charms other(s))"
rbq008,"Is reserved and unexpressive. (e.g., expresses little affect; acts in a stiff, formal manner)"
rbq009,Laughs frequently. (Disregard whether laughter appears to be nervous or genuine.)
rbq010,Smiles frequently.
rbq011,Is physically animated; moves around.
rbq012,"Seems to like other(s) present. (e.g., would probably like to be friends with them)"
rbq013,"Exhibits an awkward interpersonal style. (e.g., seems to have difficulty knowing what to say, mumbles, fails to respond to conversational advances)"
rbq014,Compares self to other(s). (whether others are present or not)
rbq015,Shows high enthusiasm and a high energy level.
rbq016,"Shows a wide range of interests. (e.g., talks about many topics)"
rbq017,"Talks at rather than with other(s). (e.g., conducts a monologue, ignores what other(s) says)"
rbq018,"Expresses agreement frequently. (High placement = agreement is expressed unusually often, e.g., in response to each and every statement partner(s) makes. Low placement = unusual lack of expression of agreement.)"
rbq019,Expresses criticism. (of anybody or anything) (Low placement = expresses praise.)
rbq020,Is talkative. (as observed in this situation)
rbq021,"Expresses insecurity. (e.g., seems touchy or overly sensitive)"
rbq022,"Show physical signs of tension or anxiety. (e.g., fidgets nervously, voice wavers) (Middle placement = lack of signs of anxiety. Low placement = lack of signs under circumstances where you would expect them.)"
rbq023,Exhibits a high degree of intelligence (Give this item high placement only if P actually says or does something of high intelligence. Low placement = exhibition of low intelligence. Medium placement = no information one way or another.)
rbq024,"Expresses sympathy. (to anyone, i.e., including conversational references) (Low placement = unusual lack of sympathy.)"
rbq025,Initiates humor.
rbq026,"Seeks reassurance. (e.g., asks for agreement, fishes for praise)"
rbq027,"Exhibits condescending behavior. (e.g., acts as if self is superior to other(s) [present, or otherwise]) (Low placement = acting inferior.)"
rbq028,Seems likable. (to other(s) present)
rbq029,Seeks advice.
rbq030,Appears to regard self as physically attractive.
rbq031,Acts irritated.
rbq032,"Expresses warmth. (to anyone, e.g., including affectionate references to close friends, ect.)"
rbq033,"Tries to undermine, sabotage or obstruct."
rbq034,Expresses hostility. (no matter toward whom or what)
rbq035,Is unusual or unconventional in appearance.
rbq036,Behaves in a fearful or timid manner.
rbq037,"Is expressive in face, voice or gestures."
rbq038,Expresses interest in fantasy or daydreams. (Low placement only if such interest is explicitly disavowed.)
rbq039,Expresses guilt. (about anything)
rbq040,Keeps other(s) at a distance; avoids development of any sort of interpersonal relationship. (Low placement = behavior to get close to other(s).)
rbq041,Shows interest in intellectual or cognitive matters. (discusses an intellectual idea in detail or with enthusiasm)
rbq042,Seems to enjoy the situation.
rbq043,Says or does something interesting.
rbq044,"Says negative things about self. (e.g., is self-critical; expresses feelings of inadequacy)"
rbq045,"Displays ambition. (e.g., passionate discussion of career plans, course grades, opportunities to make money)"
rbq046,Blames others. (for anything)
rbq047,Expresses self-pity or feelings of victimization.
rbq048,"Expresses sexual interest. (e.g., acts attracted to someone present; expresses interest in dating or sexual matters in general)"
rbq049,Behaves in a cheerful manner.
rbq050,Gives up when faced with obstacles. (Low placement implies unusual persistence.)
rbq051,Behaves in a stereotypically masculine style or manner.
rbq052,Offers advice.
rbq053,Speaks fluently and expresses ideas well.
rbq054,"Emphasizes accomplishments of self, family or acquaintances. (Low placement = emphasizes failures of these individuals.)"
rbq055,Behaves in a competitive manner. (Low placement = cooperation.)
rbq056,Speaks in a loud voice.
rbq057,"Speaks sarcastically. (e.g., says things (s)he does not mean; makes facetious comments that are not necessarily funny)"
rbq058,"Makes or approaches physical contact with other(s). (of any sort, including sitting unusually close without touching) (Low placement = unusual avoidance of physical contact, such as large interpersonal distance.)"
rbq059,Engages in constant eye contact with someone. (Low placement = unusual lack of eye contact.)
rbq060,Seems detached from the situation.
rbq061,Speaks quickly. (Low placement = speaks slowly.)
rbq062,Acts playful.
rbq063,Other(s) seeks advice from P.
rbq064,Concentrates on or works hard at a task.
rbq065,"Engages in physical activity. (e.g., works up a sweat) (Low placement = almost completely sedentary.)"
rbq066,"Acts in a self-indulgent manner. (e.g., spending, eating, or drinking) (Low placement implies self-denial.)"
rbq067,Exhibits physical discomfort or pain. (High placement = excess of what seems proportionate. Low placement implies lack of these signs where expected.)
rbq068,Behaves in a stereotypically feminine style or manner.
