question_id,item,construct
rsq001,Situation is potentially enjoyable.,rsq
rsq002,Situation is complex.,rsq
rsq003,A job needs to be done.,rsq
rsq004,Someone is trying to impress P.,rsq
rsq005,Someone is trying to convince P of something.,rsq
rsq006,P is counted on to do something.,rsq
rsq007,Talking is permitted.,rsq
rsq008,Talking is expected or demanded.,rsq
rsq009,P is being asked for something.,rsq
rsq010,Someone needs help.,rsq
rsq011,Minor details are important.,rsq
rsq012,Situation evokes values concerning lifestyles or politics.,rsq
rsq013,"Affords an opportunity to demonstrate intellectual capacity. (e.g., an intellectual discussion, a complex problem needs to be solved)",rsq
rsq014,Situation is uncertain.,rsq
rsq015,Another person (present or discussed) is under threat.,rsq
rsq016,"P is being criticized, directly or indirectly.",rsq
rsq017,Someone is attempting to dominate or boss P.,rsq
rsq018,Situation is playful.,rsq
rsq019,"Introspection is possible. (e.g., the atmosphere allows or encourages reflection upon deeply personal issues)",rsq
rsq020,Things are happening quickly. (Low placement implies things are happening slowly.),rsq
rsq021,Someone (present or discussed) is unhappy or suffering.,rsq
rsq022,A reassuring other person is present.,rsq
rsq023,P is being blamed for something.,rsq
rsq024,A decision needs to be made.,rsq
rsq025,Rational thinking is called for.,rsq
rsq026,Situation calls for self-restraint.,rsq
rsq027,Situation involves competition.,rsq
rsq028,Affords an opportunity for P to do things that might make P liked or accepted.,rsq
rsq029,Others are present who need or desire reassurance.,rsq
rsq030,"Situation entails frustration. (e.g., a goal is blocked)",rsq
rsq031,Physical attractiveness of P is relevant.,rsq
rsq032,It is important for P to make a good impression.,rsq
rsq033,Situation would make some people tense and upset.,rsq
rsq034,Situation includes one or more small annoyances.,rsq
rsq035,Situation might evoke warmth or compassion.,rsq
rsq036,A person or activity could be undermined or sabotaged.,rsq
rsq037,It is possible for P to deceive someone.,rsq
rsq038,Someone else in this situation (other than P) might be deceitful.,rsq
rsq039,Situation may cause feelings of hostility.,rsq
rsq040,People are disagreeing about something.,rsq
rsq041,Affords an opportunity to express unusual ideas or points of view.,rsq
rsq042,Situation contains physical threats.,rsq
rsq043,Situation contains emotional threats.,rsq
rsq044,"Situation raises moral or ethical issues. (e.g., a moral dilemma is present; a discussion of morality)",rsq
rsq045,A quick decision or quick action is called for.,rsq
rsq046,Situation allows a free range of emotional expression.,rsq
rsq047,Others present might have conflicting or hidden motives.,rsq
rsq048,Situation entails or could entail stress or trauma.,rsq
rsq049,"Affords an opportunity to ruminate, daydream or fantasize.",rsq
rsq050,Situation has potential to arouse guilt in P.,rsq
rsq051,Close personal relationships are present or have the potential to develop.,rsq
rsq052,Someone other than P is counted on to do something.,rsq
rsq053,"Situation includes intellectual or cognitive stimuli. (e.g., books, lectures, intellectual conversation)",rsq
rsq054,Assertiveness is required to accomplish a goal.,rsq
rsq055,"Situation includes potential for immediate gratification of desires. (e.g., food, shopping, sexual opportunities)",rsq
rsq056,Social interaction is possible.,rsq
rsq057,Situation is humorous or potentially humorous. (if one finds that sort of thing funny),rsq
rsq058,P is the focus of attention.,rsq
rsq059,"Situation includes sensuous stimuli. (e.g., touch, taste, smell, physical contact)",rsq
rsq060,"Situation is relevant to bodily health of P. (e.g., possibility of illness; a medical visit)",rsq
rsq061,Success in this situation requires self-insight.,rsq
rsq062,P controls resources needed by others.,rsq
rsq063,"Others present a wide range of interpersonal cues. (e.g., body language, tone of voice, social signals)",rsq
rsq064,"Situation includes behavioral limits. (e.g., rules or social norms that might or might not be challenged)",rsq
rsq065,"Situation includes aesthetic stimuli. (e.g., art, music, drama, beauty)",rsq
rsq066,Situation is potentially anxiety-inducing.,rsq
rsq067,Situation makes demands on P. (either explicitly or implicitly),rsq
rsq068,Affords an opportunity to express or demonstrate ambition.,rsq
rsq069,Situation might make P feel inadequate.,rsq
rsq070,Situation includes stimuli that could be construed sexually.,rsq
rsq071,Situational demands are rapidly shifting.,rsq
rsq072,P is being abused or victimized.,rsq
rsq073,Members of the opposite sex are present.,rsq
rsq074,Potential romantic partners for P are present.,rsq
rsq075,Situation has potential to arouse competing motivations.,rsq
rsq076,Situation is basically simple and clear-cut.,rsq
rsq077,Affords an opportunity to express charm.,rsq
rsq078,Situation involves social comparison.,rsq
rsq079,Situation raises issues of power. (for P or others present),rsq
rsq080,Affords an opportunity to express masculinity.,rsq
rsq081,Others may need or are requesting advice from P.,rsq
rsq082,Independence or autonomy of P is questioned or threatened.,rsq
rsq083,Situation is potentially emotionally arousing.,rsq
rsq084,"Affords an opportunity for demonstrating verbal fluency. (e.g., a debate, a monologue, an active conversation)",rsq
rsq085,People who are present occupy different social roles or levels of status.,rsq
rsq086,P is being pressured to conform to the actions of others.,rsq
rsq087,Success requires cooperation.,rsq
rsq088,P is being complimented or praised.,rsq
rsq089,Affords an opportunity to express femininity.,rsq
