situation_id,situation,rsq001,rsq002,rsq003,rsq004,rsq005,rsq006,rsq007,rsq008,rsq009,rsq010,rsq011,rsq012,rsq013,rsq014,rsq015,rsq016,rsq017,rsq018,rsq019,rsq020,rsq021,rsq022,rsq023,rsq024,rsq025,rsq026,rsq027,rsq028,rsq029,rsq030,rsq031,rsq032,rsq033,rsq034,rsq035,rsq036,rsq037,rsq038,rsq039,rsq040,rsq041,rsq042,rsq043,rsq044,rsq045,rsq046,rsq047,rsq048,rsq049,rsq050,rsq051,rsq052,rsq053,rsq054,rsq055,rsq056,rsq057,rsq058,rsq059,rsq060,rsq061,rsq062,rsq063,rsq064,rsq065,rsq066,rsq067,rsq068,rsq069,rsq070,rsq071,rsq072,rsq073,rsq074,rsq075,rsq076,rsq077,rsq078,rsq079,rsq080,rsq081,rsq082,rsq083,rsq084,rsq085,rsq086,rsq087,rsq088,rsq089
sit_1,Yesterday by 19 clock I was at home and I played on the PC logic game pattern. My friend was also at home.,5,7,7.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,7.0,2.0,9.0,4.0,1.0,6.0,4.0,8.0,4.0,7.0,5.0,6.0,5.0,7.0,9.0,6.0,8.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,3.0,7.0,5.0,5.0,3.0,3.0,6.0,5.0,5.0,9.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,7.0,1.0,8.0,8.0,6.0,3.0,5.0,1.0,8.0,8.0,5.0,7.0,2.0,4.0,2.0,6.0,7.0,2.0,5.0,2.0,5.0,3.0,4.0,6.0,2.0
sit_2,I was eating with my father. He has cooked FYR me and my children. I went after me in the flats and got a visit from another family member,7,7,5.0,7.0,7.0,7.0,8.0,5.0,8.0,7.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,7.0,5.0,5.0,8.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,9.0,2.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,5.0,6.0,6.0,2.0,6.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,8.0,3.0,6.0,3.0,7.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,8.0,1.0,6.0,9.0,7.0,7.0,5.0,4.0,6.0,3.0,1.0
sit_3,I was eating at a party a co-worker at the UniversitŠt together with other colleagues from the working group.,8,5,5.0,4.0,6.0,2.0,9.0,7.0,4.0,4.0,4.0,5.0,7.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,5.0,4.0,6.0,3.0,4.0,4.0,6.0,3.0,5.0,5.0,3.0,5.0,4.0,6.0,6.0,5.0,8.0,7.0,3.0,5.0,7.0,9.0,7.0,2.0,7.0,1.0,5.0,5.0,7.0,7.0,3.0,3.0,5.0,5.0,6.0,2.0,7.0,1.0,8.0,4.0,6.0,3.0,9.0,8.0,8.0,6.0,2.0,3.0,6.0,8.0,7.0,7.0,5.0,4.0,5.0
sit_4,I was at work (waiters) in a pizzeria. I was the only waitress with 2 Kšchen and about 40 GŠsten,5,5,9.0,7.0,5.0,9.0,8.0,8.0,8.0,5.0,6.0,2.0,3.0,5.0,1.0,6.0,5.0,4.0,2.0,8.0,3.0,4.0,7.0,7.0,5.0,7.0,2.0,6.0,5.0,7.0,6.0,7.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,3.0,6.0,3.0,6.0,2.0,4.0,4.0,6.0,6.0,8.0,4.0,3.0,4.0,5.0,6.0,5.0,2.0,3.0,9.0,5.0,5.0,4.0,5.0,1.0,6.0,5.0,5.0,7.0,6.0,6.0,3.0,5.0,6.0,4.0,5.0,1.0,6.0,3.0,7.0,7.0,7.0
sit_5,"I have played League of Legends, at my home in my apartment in Innsbruck, with my friend Yber the Internet",5,7,6.0,7.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,3.0,4.0,6.0,3.0,6.0,1.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,8.0,6.0,3.0,9.0,2.0,6.0,7.0,9.0,4.0,5.0,2.0,2.0,7.0,7.0,4.0,1.0,4.0,2.0,7.0,3.0,3.0,5.0,5.0,4.0,4.0,6.0,3.0,4.0,4.0,8.0,4.0,5.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,8.0,3.0,3.0,6.0,4.0,7.0,8.0,5.0,5.0,5.0,3.0,7.0,7.0,5.0,2.0,8.0,5.0,6.0,8.0,9.0,7.0,5.0
sit_6,I was in the gym of the high school at wšchentlichen Women's Gymnastics with 6 other women as participants and an instructor.,6,5,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,5.0,7.0,9.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,5.0,3.0,3.0,6.0,5.0,2.0,2.0,2.0,6.0,6.0,3.0,3.0,3.0,3.0,6.0,7.0,3.0,7.0,3.0,8.0,7.0,6.0,8.0,5.0,8.0,3.0,7.0,8.0,7.0,3.0,7.0,9.0,4.0,2.0,6.0,2.0,1.0,1.0,5.0,7.0,6.0,5.0,2.0,1.0,8.0,3.0,7.0,8.0,7.0,7.0,9.0,5.0,5.0
sit_7,I was talking with my girlfriends.,9,5,3.0,5.0,7.0,4.0,9.0,5.0,6.0,6.0,5.0,7.0,7.0,4.0,3.0,7.0,7.0,5.0,6.0,5.0,4.0,7.0,6.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,1.0,6.0,8.0,4.0,4.0,4.0,3.0,6.0,5.0,1.0,2.0,6.0,4.0,7.0,4.0,3.0,5.0,4.0,6.0,6.0,4.0,9.0,3.0,7.0,7.0,6.0,7.0,3.0,8.0,2.0,6.0,3.0,7.0,2.0,4.0,4.0,6.0,2.0,5.0,2.0,3.0,2.0,5.0,5.0,8.0,3.0,4.0,1.0,6.0,8.0,5.0,8.0,4.0,5.0,5.0,4.0,8.0
sit_8,I was with 5 friends in a lecture at the UniversitŠt.,5,6,5.0,5.0,6.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,7.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,7.0,3.0,7.0,4.0,2.0,5.0,6.0,6.0,8.0,3.0,4.0,8.0,3.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,6.0,8.0,7.0,3.0,6.0,2.0,6.0,1.0,3.0,1.0,9.0,3.0,7.0,5.0,3.0,8.0,3.0,2.0,4.0,4.0,9.0,7.0,9.0,4.0,1.0,5.0,2.0
sit_9,Did Sherlock Holmes looked in the living room. Was alone.,9,8,5.0,5.0,5.0,5.0,7.0,5.0,4.0,6.0,9.0,5.0,6.0,7.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,4.0,3.0,4.0,7.0,7.0,3.0,5.0,3.0,6.0,4.0,4.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,4.0,3.0,4.0,4.0,5.0,7.0,7.0,5.0,4.0,7.0,6.0,4.0,3.0,6.0,6.0,6.0,3.0,8.0,3.0,7.0,7.0,3.0,5.0,3.0,4.0,7.0,6.0,2.0,2.0,6.0,4.0,8.0,2.0,6.0,2.0,8.0,9.0,2.0,3.0,5.0,1.0,3.0,2.0,8.0,5.0,6.0,5.0,5.0,1.0,1.0
sit_10,"Yesterday I aufgerŠumt together with my roommate and best friend the apartment and replace lŠnger ausstŠndige work as GlŸhbirnen, bathroom cleaning, etc. done.",5,4,8.0,5.0,5.0,9.0,7.0,5.0,8.0,7.0,7.0,5.0,2.0,4.0,4.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,9.0,4.0,5.0,3.0,6.0,2.0,3.0,7.0,7.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,7.0,3.0,7.0,7.0,4.0,9.0,2.0,5.0,5.0,7.0,6.0,4.0,7.0,2.0,2.0,4.0,3.0,6.0,6.0,1.0,8.0,6.0,6.0,4.0,1.0,1.0,3.0,3.0,7.0,8.0,4.0,3.0,3.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,8.0,8.0,5.0
sit_11,Yesterday by 19 clock I was to get in a GeschŠft (saturn) tickets to FYR a festival. I was with a friend on the road.,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,6.0,6.0,6.0,3.0,3.0,1.0,6.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,6.0,5.0,6.0,4.0,6.0,6.0,9.0,5.0,5.0,1.0,2.0,2.0,4.0,4.0,7.0,4.0,7.0,7.0,4.0,9.0,8.0,4.0,4.0,7.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,7.0,6.0,2.0,8.0,5.0,5.0,1.0,2.0,3.0,6.0,4.0,6.0,9.0,8.0,7.0,6.0,2.0,6.0,3.0,6.0,7.0,7.0,7.0,8.0,5.0,4.0
sit_12,"I was invited to dinner at a friend in his apartment. we ate and talked together / spent time, ie Exchanged ideas, discussed current problems Yber etc.",7,6,3.0,4.0,4.0,5.0,6.0,8.0,5.0,5.0,5.0,6.0,6.0,5.0,1.0,3.0,3.0,6.0,6.0,5.0,4.0,7.0,2.0,4.0,5.0,2.0,3.0,7.0,4.0,3.0,5.0,6.0,4.0,3.0,9.0,3.0,5.0,4.0,2.0,5.0,7.0,1.0,4.0,6.0,3.0,9.0,4.0,2.0,7.0,5.0,8.0,3.0,6.0,5.0,6.0,9.0,6.0,6.0,8.0,5.0,8.0,3.0,8.0,2.0,7.0,4.0,7.0,6.0,4.0,7.0,6.0,1.0,6.0,2.0,4.0,5.0,7.0,4.0,4.0,5.0,5.0,3.0,7.0,8.0,5.0,4.0,5.0,7.0,5.0
sit_13,"I was in the laboratory of the Institute, have worked at the same time I had to think Yber an important career decision. From 19 clock I was alone.",6,8,4.0,5.0,5.0,8.0,5.0,5.0,8.0,4.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,7.0,5.0,4.0,3.0,4.0,9.0,8.0,6.0,3.0,7.0,3.0,6.0,3.0,5.0,7.0,4.0,3.0,3.0,7.0,4.0,6.0,5.0,5.0,3.0,6.0,5.0,8.0,4.0,3.0,8.0,5.0,6.0,7.0,7.0,6.0,7.0,2.0,5.0,1.0,7.0,2.0,4.0,9.0,5.0,4.0,6.0,2.0,7.0,6.0,7.0,7.0,2.0,5.0,1.0,4.0,3.0,9.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,6.0,4.0,4.0,5.0,5.0,6.0,1.0
sit_14,I got home and started to cook with my wife.,5,4,5.0,3.0,3.0,5.0,6.0,5.0,7.0,5.0,2.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,7.0,4.0,9.0,4.0,4.0,4.0,4.0,8.0,6.0,6.0,3.0,3.0,3.0,6.0,5.0,6.0,2.0,5.0,3.0,5.0,6.0,5.0,2.0,4.0,5.0,6.0,6.0,2.0,5.0,7.0,8.0,5.0,3.0,7.0,7.0,5.0,2.0,7.0,4.0,6.0,2.0,7.0,7.0,6.0,7.0,4.0,3.0,8.0,9.0,8.0,6.0,7.0,6.0,4.0,5.0,6.0,4.0,8.0,6.0,5.0,7.0,9.0,6.0,8.0
sit_15,I was with a friend in dance school at a dance class.,6,5,4.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,6.0,3.0,3.0,4.0,7.0,6.0,4.0,7.0,4.0,5.0,3.0,3.0,4.0,6.0,4.0,5.0,3.0,6.0,6.0,6.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0,2.0,5.0,7.0,5.0,2.0,3.0,1.0,7.0,5.0,5.0,7.0,3.0,7.0,7.0,5.0,9.0,2.0,6.0,1.0,8.0,7.0,8.0,4.0,8.0,8.0,6.0,5.0,5.0,1.0,8.0,4.0,5.0,6.0,9.0,6.0,5.0,7.0,5.0,6.0,7.0,2.0,5.0,8.0,9.0,6.0,7.0
sit_16,I was alone in my apartment and have watched a movie.,7,6,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,3.0,1.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,8.0,4.0,8.0,4.0,4.0,8.0,4.0,4.0,4.0,6.0,4.0,8.0,4.0,8.0,4.0,5.0,5.0,4.0,4.0,3.0,1.0,9.0,3.0,8.0,3.0,5.0,3.0,7.0,3.0,3.0,3.0,6.0,9.0,2.0,7.0,3.0,1.0,2.0,2.0,9.0,2.0,2.0,2.0,3.0,3.0,7.0
sit_17,I left with my boss and a co-worker the Byro,7,5,7.0,4.0,5.0,5.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,8.0,6.0,6.0,2.0,7.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,5.0,3.0,7.0,7.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,8.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,6.0,6.0,2.0,3.0,5.0,9.0,9.0,5.0,3.0,3.0,5.0,3.0,6.0,5.0,3.0,2.0,8.0,9.0,6.0,1.0,5.0,2.0,1.0,1.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,8.0,6.0,7.0,8.0,2.0
