,Dataset,Model,Correlation,p-value,L1 Loss
0,RSQ,Best Model,-0.01948,0.855398,1.5222222222222221
1,RSQ,Best Model,0.389319,0.000149,1.3666666666666667
2,RSQ,Best Model,0.20117,0.057266,1.5555555555555556
3,RSQ,Best Model,0.47934,2e-06,1.2777777777777777
4,RSQ,Best Model,0.317068,0.002328,1.488888888888889
5,RSQ,Best Model,0.306759,0.003274,1.4555555555555555
6,RSQ,Best Model,0.386811,0.000166,1.4333333333333333
7,RSQ,Best Model,0.267622,0.010769,1.4555555555555555
8,RSQ,Best Model,-0.115154,0.279799,1.6111111111111112
9,RSQ,Best Model,-0.0133,0.900982,1.511111111111111
10,RSQ,Best Model,0.429802,2.4e-05,1.4333333333333333
11,RSQ,Best Model,0.247621,0.018619,1.4777777777777779
12,RSQ,Best Model,0.152927,0.150153,1.5222222222222221
13,RSQ,Best Model,0.218746,0.038326,1.488888888888889
14,RSQ,Best Model,0.106796,0.316409,1.4555555555555555
15,RSQ,Best Model,0.310288,0.002917,1.488888888888889
16,RSQ,Best Model,0.188547,0.075123,1.4777777777777779
17,RSQ,Best Model,0.230386,0.028921,1.4777777777777779
18,RSQ,Best Model,0.134989,0.204609,1.5333333333333334
19,RSQ,Best Model,0.109291,0.30517,1.6222222222222222
20,RSQ,Best Model,0.145507,0.171187,1.5
21,RSQ,Best Model,0.371194,0.000316,1.4333333333333333
22,RSQ,Best Model,0.261977,0.01262,1.4555555555555555
23,RSQ,Best Model,0.373377,0.000289,1.4
24,RSQ,Best Model,0.279363,0.007664,1.4777777777777779
25,RSQ,Best Model,0.397555,0.000104,1.4333333333333333
26,RSQ,Best Model,0.288125,0.00589,1.4
27,RSQ,Best Model,0.51596,0.0,1.288888888888889
28,RSQ,Best Model,0.027041,0.800274,1.5
29,RSQ,Best Model,0.437384,1.6e-05,1.3777777777777778
30,RSQ,Best Model,0.124438,0.242575,1.5222222222222221
31,RSQ,Best Model,0.294137,0.004894,1.5
32,RSQ,Best Model,0.372653,0.000298,1.4555555555555555
33,RSQ,Best Model,0.168505,0.112375,1.5333333333333334
34,RSQ,Best Model,0.275521,0.00858,1.3888888888888888
35,RSQ,Best Model,0.201726,0.056567,1.5222222222222221
36,RSQ,Best Model,0.056877,0.5944,1.5555555555555556
37,RSQ,Best Model,0.309576,0.002986,1.4222222222222223
38,RSQ,Best Model,0.282033,0.007079,1.488888888888889
39,RSQ,Best Model,0.164025,0.122394,1.4666666666666666
40,RSQ,Best Model,0.023503,0.825965,1.511111111111111
41,RSQ,Best Model,0.275056,0.008697,1.4555555555555555
42,RSQ,Best Model,0.178415,0.09248,1.5444444444444445
43,RSQ,Best Model,0.236069,0.025091,1.4333333333333333
44,RSQ,Best Model,0.259157,0.013644,1.5
45,RSQ,Best Model,0.192611,0.068942,1.4555555555555555
