,rsq001,rsq002,rsq003,rsq004,rsq005,rsq006,rsq007,rsq008,rsq009,rsq010,rsq011,rsq012,rsq013,rsq014,rsq015,rsq016,rsq017,rsq018,rsq019,rsq020,rsq021,rsq022,rsq023,rsq024,rsq025,rsq026,rsq027,rsq028,rsq029,rsq030,rsq031,rsq032,rsq033,rsq034,rsq035,rsq036,rsq037,rsq038,rsq039,rsq040,rsq041,rsq042,rsq043,rsq044,rsq045,rsq046,rsq047,rsq048,rsq049,rsq050,rsq051,rsq052,rsq053,rsq054,rsq055,rsq056,rsq057,rsq058,rsq059,rsq060,rsq061,rsq062,rsq063,rsq064,rsq065,rsq066,rsq067,rsq068,rsq069,rsq070,rsq071,rsq072,rsq073,rsq074,rsq075,rsq076,rsq077,rsq078,rsq079,rsq080,rsq081,rsq082,rsq083,rsq084,rsq085,rsq086,rsq087,rsq088,rsq089
0,0.4,-0.4,0.4,0.2,-0.2,-0.2,0.0,0.0,-0.2,0.0,0.2,0.0,-0.2,0.6,-0.6,-0.6,-0.6,0.2,0.4,-0.2,-0.4,-0.8,-0.6,0.4,0.4,-1.0,-0.4,0.4,-0.6,-0.2,-0.2,0.2,-0.6,-0.2,-0.2,-0.6,-0.4,0.2,-0.8,0.0,0.2,-0.6,-0.6,-0.2,1.0,-0.4,-0.6,-0.4,0.4,0.0,0.4,-0.2,0.2,0.6,0.0,-0.2,-0.4,-0.2,0.2,-0.4,0.2,-0.4,0.4,0.2,-0.2,-0.4,-0.2,0.0,0.0,-0.6,0.0,-0.2,0.4,0.2,0.2,0.6,0.0,0.0,-0.2,0.2,-0.6,-0.4,-0.6,0.4,0.0,0.2,0.2,-0.6,-0.2
1,-0.2,0.4,0.6,0.2,0.4,-0.2,0.4,0.4,0.4,0.2,0.4,-0.4,0.4,0.4,0.0,-0.4,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.6,-0.2,0.0,-0.2,-0.6,0.0,-0.2,0.0,0.2,0.0,-0.2,0.2,-0.4,-0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.4,0.2,-0.2,0.0,0.0,-0.8,0.0,0.4,0.2,-0.2,-0.4,0.2,-0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.6,-0.2,-0.2,-1.0,0.0,0.0,-0.4,0.2,0.0,-0.2,0.2,0.0,0.4,-0.8,-0.2,-0.8
2,0.0,0.2,-0.2,-0.2,-0.2,0.2,0.8,1.0,0.0,-0.6,-0.6,0.4,0.2,-0.6,-0.2,-0.2,-0.4,0.2,0.6,-0.4,-0.4,-0.6,-0.4,0.0,-0.4,-0.4,-0.6,0.6,-0.8,0.0,0.0,0.0,0.0,-0.2,0.4,-0.4,-0.8,0.2,-0.4,0.4,0.4,-0.6,-0.6,0.2,-0.6,0.6,-0.2,-0.6,0.4,-0.2,0.4,-0.2,0.4,0.4,0.0,0.8,0.0,-0.2,-0.8,0.0,-0.2,0.0,0.2,0.2,-0.2,-0.6,0.2,0.6,0.2,0.4,0.2,0.0,0.4,0.0,0.4,-0.2,0.0,0.2,0.2,0.6,0.0,-0.2,-0.2,0.2,0.8,-0.2,0.4,-1.2,0.4
3,-0.2,-0.2,0.2,0.4,0.4,0.0,0.0,0.2,0.4,0.0,1.0,-0.4,-0.8,0.4,-0.4,-0.2,-0.2,0.0,-0.6,0.8,-0.6,-0.4,-0.2,0.0,0.6,-0.8,-0.4,-0.2,-0.6,0.0,0.2,0.4,-0.4,0.4,-0.4,-0.6,-0.2,0.4,-0.2,0.0,-0.8,-0.2,-0.4,-0.4,0.8,-0.2,-0.6,-0.6,-0.8,0.4,0.0,0.4,-1.0,0.2,-0.2,0.0,-0.4,0.6,-0.6,0.0,0.0,0.4,-0.4,-0.6,-0.6,-0.2,-0.2,-0.6,0.4,-0.2,0.2,0.0,0.0,0.2,-0.4,0.0,0.2,-0.4,-0.2,-0.2,-0.4,0.0,-0.4,-0.6,-0.2,1.0,0.4,0.4,-0.2
4,0.2,0.2,0.0,0.0,0.2,-0.2,0.2,0.2,0.2,-0.4,0.6,-0.4,0.2,-0.2,-0.8,0.4,0.4,-0.2,0.0,0.2,-0.4,-0.2,0.2,0.4,0.0,-0.2,-0.8,0.2,-0.2,0.4,0.2,0.0,0.2,0.6,0.2,0.0,-0.4,-0.4,0.2,-0.4,0.2,-0.4,-0.2,-0.2,0.0,0.0,-0.2,-0.4,0.2,-0.2,0.4,-0.2,0.0,0.2,0.0,-0.4,0.0,0.2,-0.8,0.0,0.4,0.0,-0.4,0.0,-1.0,-0.4,-0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.4,0.4,0.2,-0.2,0.2,0.2,0.2,-0.4,0.2,-0.2,-0.2,0.2,0.0,0.4
5,-0.2,-0.4,0.4,0.0,0.2,0.2,0.4,0.8,0.4,0.2,0.0,0.4,0.4,-0.2,-0.8,0.2,0.0,-0.4,0.4,-0.2,-0.2,-0.2,0.2,-0.2,0.0,-0.8,0.0,0.4,0.0,-0.4,-0.2,0.0,-0.8,-0.4,0.0,-0.2,-0.6,0.2,-0.6,0.2,0.4,-0.2,0.0,0.0,0.4,0.2,-0.4,-0.2,0.6,0.2,-0.4,0.0,0.4,0.6,0.4,0.2,0.0,0.0,0.0,0.2,0.8,0.4,-0.2,-0.8,-0.2,-0.2,0.0,-0.2,0.4,0.0,0.2,0.4,-0.2,0.0,0.4,0.6,0.0,0.4,0.0,0.4,-0.2,0.4,-0.4,0.2,-0.4,0.4,0.6,-0.2,-0.2
6,0.0,-0.2,0.0,0.4,0.2,-0.2,0.8,1.2,0.2,-0.2,0.2,0.0,0.2,-0.2,-0.4,-0.2,0.0,0.6,0.8,-0.2,0.2,-0.2,0.0,-0.2,-0.2,-1.0,-0.8,0.4,-0.2,-0.2,-0.2,0.0,-0.4,-0.6,0.2,-0.2,-0.2,0.0,-1.2,0.0,0.4,-0.4,-0.8,0.2,-0.4,1.0,-0.2,0.0,0.4,0.0,0.0,-0.2,0.4,0.4,0.2,1.0,0.6,-0.2,-0.4,0.0,0.4,0.0,0.6,-0.2,0.4,-0.6,0.0,0.4,0.0,0.2,-0.2,0.2,0.2,0.4,-0.2,0.0,0.0,0.0,0.0,0.6,-0.2,-0.2,0.4,0.2,0.0,0.0,0.6,0.0,-0.2
7,0.6,0.4,0.2,0.0,-0.2,-0.2,0.6,0.2,0.0,0.0,-0.2,0.8,0.4,0.2,-0.2,-0.4,-0.6,0.6,0.4,-0.6,0.0,-0.2,-0.2,-0.2,0.2,-0.4,0.2,-0.2,-0.2,0.2,-0.4,0.0,0.0,-0.2,0.6,0.2,-0.4,0.2,-0.4,0.8,0.2,0.0,0.2,0.6,0.0,0.4,0.2,0.0,0.2,-0.2,0.2,-0.4,0.8,-0.2,0.4,0.2,0.6,-0.4,0.0,-0.4,-0.2,0.0,0.8,0.0,0.0,-0.2,0.4,0.2,0.2,0.0,0.2,0.0,0.2,0.4,0.0,0.2,-0.4,0.6,0.4,-0.4,-0.4,-0.4,-0.2,0.2,0.8,0.0,0.2,-0.8,-0.4
8,0.4,0.4,-0.4,-0.4,-0.2,-0.4,0.6,-0.2,-0.4,-0.4,-0.2,-0.2,-0.2,0.6,0.0,-1.0,-0.4,0.6,-0.4,0.2,0.0,-0.2,-0.4,0.8,0.6,0.0,0.4,-0.6,-0.2,0.4,-0.4,-0.4,0.2,-0.2,0.2,0.0,-0.4,-0.4,0.0,-0.2,0.0,0.2,0.4,0.2,1.0,0.6,0.0,0.8,-0.4,-0.4,0.0,-0.2,0.4,-0.4,0.8,0.6,1.0,-0.6,0.4,-0.2,0.0,-0.4,0.2,0.2,0.4,0.2,-0.2,-0.2,-0.6,0.8,0.2,-0.4,0.0,0.6,-0.6,0.0,-0.8,0.0,-0.2,-1.0,-0.4,-0.8,0.8,-0.2,-0.4,-0.6,-0.2,-0.6,-0.6
9,0.0,-0.2,0.6,0.4,0.2,0.4,0.2,0.6,0.8,0.0,0.8,-0.4,0.2,0.4,-0.4,0.2,-0.4,-0.2,-0.2,-0.4,-0.4,-0.6,0.4,-0.2,0.6,-0.6,0.0,-0.4,-0.2,0.2,-0.4,0.0,-0.2,-0.4,0.0,0.2,-0.2,0.8,-0.4,-0.2,0.0,0.2,0.2,0.2,0.6,0.0,0.0,-0.6,-0.2,0.2,0.4,0.4,0.0,-0.6,0.0,0.0,-0.4,0.6,-0.4,-0.2,0.4,0.8,0.2,-0.4,0.0,-0.4,0.6,0.0,0.8,-0.2,0.2,0.4,-0.4,0.0,-0.2,0.0,0.0,0.2,0.6,-0.2,0.0,0.2,-0.4,0.0,0.0,1.0,0.4,0.0,0.2
10,0.0,0.0,0.4,-0.2,-0.4,0.4,0.2,0.6,0.2,0.0,0.0,0.2,0.4,0.6,-0.6,0.0,-0.4,-0.2,0.2,0.0,-0.2,-0.2,0.4,0.0,0.0,-0.2,0.2,0.0,-0.4,0.2,0.2,-0.2,0.4,0.0,0.4,0.8,-0.4,0.8,-0.8,0.4,0.4,-0.2,-0.2,0.4,0.2,0.2,0.2,-0.4,0.2,0.0,0.4,0.0,0.6,-0.2,-0.2,0.2,-0.2,0.0,-0.2,0.0,0.2,0.8,0.6,0.6,-0.2,-0.2,0.8,0.4,0.6,-0.2,0.4,0.2,0.2,-0.2,0.2,-0.2,-0.2,0.4,0.8,0.2,0.2,0.2,-0.6,0.2,0.6,0.2,0.2,-0.4,0.2
11,0.4,0.2,-0.2,0.0,-0.4,-0.6,1.4,0.8,-0.4,-0.6,-0.2,0.4,0.8,0.0,-0.6,-0.6,-0.6,0.4,1.2,-0.4,0.4,-0.4,-0.8,-0.2,-0.4,-1.0,-0.8,0.4,-0.2,0.0,-0.2,0.4,-0.2,-0.2,0.6,-0.8,-0.6,0.0,-0.6,0.0,0.6,-1.0,-1.0,0.2,-0.2,1.0,-0.4,0.8,0.6,0.0,0.2,-0.4,0.4,0.4,0.6,1.0,1.2,-0.2,0.2,0.4,0.0,-0.2,1.2,0.2,0.8,0.2,-0.2,0.8,-0.2,0.6,0.0,-0.6,0.0,0.4,-0.2,0.0,0.6,-0.4,-0.2,0.4,-0.6,-0.6,1.2,0.6,0.4,-0.2,0.4,-0.8,0.6
12,0.2,-0.2,0.4,0.2,0.2,0.4,0.0,0.2,0.4,-0.4,0.2,0.0,0.4,0.2,-0.4,-0.2,-0.4,0.0,0.4,0.8,-0.8,0.0,0.0,0.8,0.8,-0.2,-0.2,0.0,-0.2,0.4,0.2,0.2,0.4,0.2,-0.2,-0.2,-0.2,0.6,0.2,0.0,0.4,0.0,-0.2,0.0,0.4,-0.4,0.2,0.2,0.4,0.2,0.2,0.4,-0.2,0.6,-0.4,0.2,0.0,0.2,-0.4,-0.2,0.6,0.8,-0.4,-0.2,-0.4,-0.4,0.4,0.0,0.2,-0.2,0.8,0.4,-0.4,0.0,-0.4,1.2,-0.2,0.2,0.4,-0.4,0.2,-0.2,-0.2,0.4,-0.4,0.6,1.0,0.0,0.2
13,0.6,-0.2,-0.2,-0.2,-0.2,-0.4,0.4,0.4,-0.4,-0.6,0.0,0.0,0.6,-0.2,-0.2,-0.4,-0.8,0.0,0.2,-0.4,-0.2,-1.0,0.0,-0.2,0.4,-0.6,-0.4,0.4,-0.8,0.2,0.4,0.2,0.0,0.0,0.4,-0.2,-0.8,0.0,-0.2,0.0,0.6,-0.2,-0.2,-0.2,0.2,0.2,-0.2,0.0,0.6,-0.2,0.8,-0.4,0.0,0.2,0.4,0.6,0.0,-0.4,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.4,0.4,-0.2,0.2,0.2,0.2,0.2,0.8,0.0,0.0,0.6,0.0,-0.2,0.0,0.6,0.2,-0.2,0.4,-0.8,0.8
14,0.4,0.0,-0.2,0.2,0.2,-0.4,0.6,0.4,0.0,-0.4,0.2,0.2,-0.4,-0.2,0.0,-0.4,-0.4,0.6,0.2,-0.2,-0.4,-0.4,-0.2,-0.2,-0.2,-0.6,-0.4,0.4,-0.2,0.0,0.2,0.0,-0.2,0.0,0.6,-0.2,-1.0,-0.4,-0.4,-0.2,-0.2,-0.2,-0.4,-0.2,0.0,0.6,-0.8,0.0,-0.2,0.2,0.2,-0.4,0.0,0.2,0.6,0.4,0.4,-0.4,0.2,0.6,0.6,0.2,0.4,-0.2,0.6,-0.4,-0.2,0.0,-0.2,0.4,0.2,0.0,-0.2,0.2,0.2,-0.2,0.6,-0.2,-0.2,0.6,-0.4,-0.2,0.2,-0.2,0.4,0.0,0.4,-0.6,0.6
15,0.4,0.4,0.0,-0.4,-0.6,-0.2,1.0,0.2,0.0,0.0,-0.4,0.2,-0.2,0.4,-0.6,-0.6,-0.2,-0.2,0.2,0.2,0.2,0.0,-0.6,0.0,0.0,-0.2,0.6,-0.4,-0.4,0.2,-0.4,-0.2,-0.4,0.0,0.4,-0.4,-0.2,0.2,-0.2,0.2,-0.2,-0.4,0.4,0.0,0.4,0.8,-0.2,0.2,-0.4,0.0,-0.2,-0.2,0.0,0.0,0.4,0.4,0.8,-0.4,-0.2,-0.4,-0.4,-0.2,0.4,0.2,0.2,0.2,-0.2,0.0,0.0,0.6,0.0,-0.4,-0.2,0.6,-0.2,0.0,-0.2,0.0,-0.2,-0.2,-0.4,-0.2,0.2,0.0,0.2,0.2,0.0,-0.4,-0.6
16,-0.2,0.2,0.0,0.4,0.0,-0.2,0.8,0.8,0.0,0.0,0.2,0.2,0.8,0.2,-0.2,0.0,-0.2,-0.4,0.4,-0.2,-0.4,-0.4,-0.2,0.0,0.0,-0.6,-0.2,1.0,-0.2,-0.4,-0.2,0.0,-0.4,-0.2,-0.2,-0.4,-0.2,0.2,-0.2,0.2,0.6,-0.4,-0.4,0.0,0.2,0.6,-0.2,-0.6,0.8,0.2,0.0,-0.2,0.0,0.8,-0.2,0.2,0.0,0.0,-1.0,-0.2,0.0,0.0,0.0,-0.6,-1.0,-0.6,0.0,0.4,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.6,-0.2,0.0,-0.6,0.6,0.0,0.2,0.4,-0.2,0.6
17,0.6,0.0,-0.4,-0.4,-0.2,0.2,0.2,0.2,-0.2,-0.2,-0.6,0.2,0.0,0.0,0.0,-0.6,-0.8,0.2,-0.4,-0.2,-0.4,-0.2,-0.4,-0.2,0.2,0.0,0.4,-0.4,0.0,0.4,0.4,-0.4,0.4,0.6,0.4,0.0,0.0,0.8,0.2,0.0,0.0,0.2,0.4,0.4,0.0,0.4,0.4,0.2,-0.6,0.4,-0.2,0.2,0.4,-0.4,0.8,0.4,0.8,-0.2,0.2,0.4,0.2,0.4,-0.2,0.2,0.2,0.4,0.4,-0.2,0.4,0.8,0.2,0.2,0.2,0.4,-0.2,-0.2,-0.2,0.0,0.4,-0.4,-0.2,-0.2,0.8,-0.2,-0.2,0.4,0.0,-0.2,0.2
18,0.0,-0.4,0.6,0.0,-0.4,-0.6,0.2,0.6,-0.2,0.6,0.4,0.2,0.4,0.0,-1.0,-0.8,-0.8,-0.2,0.6,0.4,0.0,0.0,-0.4,0.2,0.6,-1.0,0.0,0.4,0.6,0.0,-0.6,-0.4,-0.2,0.0,-0.2,-0.4,-1.0,0.0,-0.4,0.2,0.6,-0.2,-0.2,-0.2,0.8,0.0,0.0,0.0,0.4,-0.6,0.2,-0.4,0.0,0.6,-0.8,0.0,0.0,-0.2,-0.6,0.0,0.6,-0.2,0.4,-0.4,-0.4,-0.6,-0.6,0.4,-0.2,-0.4,0.4,-0.6,-0.2,-0.2,0.0,0.4,-0.2,0.0,-0.6,0.2,-0.6,-0.6,-0.4,0.6,0.2,0.0,1.2,-0.4,0.2
19,-0.4,-0.4,0.6,0.0,0.2,0.4,0.4,0.4,0.2,0.6,0.2,-0.4,-0.6,0.0,-0.4,0.0,0.0,-0.4,0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,0.2,-0.2,0.4,-0.2,0.0,0.0,-0.6,0.0,0.0,0.0,-0.2,0.2,-0.2,0.4,-0.6,0.0,0.0,0.2,0.2,0.2,-0.2,0.0,-0.4,0.2,0.2,0.4,-0.2,-0.2,-0.2,0.4,-0.4,0.4,-0.2,-0.2,0.4,0.2,-0.2,-1.0,-0.8,0.0,0.2,0.0,0.2,-0.8,0.2,0.2,0.0,0.0,-0.6,0.2,-0.8,0.2,0.2,-0.2,-0.4,0.0,-0.6,-0.6,0.2,0.0,0.4,-0.2,-0.8
20,-0.4,-0.4,0.4,0.0,-0.2,-0.2,0.4,1.4,0.0,0.2,0.0,-0.2,1.0,0.0,-0.4,-0.2,-0.4,-0.4,0.4,0.0,-0.2,-0.2,0.0,-0.2,0.0,-0.8,-0.2,0.6,0.0,-0.4,-0.4,0.0,-0.2,0.0,0.0,-0.4,-0.6,0.4,-0.4,-0.2,0.8,-0.6,-0.6,0.2,0.2,0.2,-0.2,-0.2,1.0,0.0,-0.2,-0.4,0.6,0.4,0.0,0.6,0.0,-0.4,0.0,0.6,0.8,0.2,0.4,-0.2,0.0,-0.6,0.0,0.6,0.4,-0.2,0.6,0.0,-0.6,-0.4,0.2,0.0,0.0,-0.4,0.0,0.6,0.0,0.2,-0.2,0.6,-0.2,0.4,0.6,-0.4,0.2
